Latitude,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
11.5,76.25,Nilambur,Kerala,0.08,0.0,0.01,0.04,2.74,3.51,4.69,1.33,1.13,0.87,0.31,0.68
11.5,76.5,Gudalur,Tamil Nadu,0.01,0.0,0.12,0.31,2.73,7.78,6.93,3.53,2.73,1.81,0.68,2.08
11.5,76.75,Udhagamandalam,Tamil Nadu,0.24,0.0,0.37,0.53,3.5,5.4,3.75,0.95,1.32,1.34,3.65,4.14
11.5,77.0,Sathyamangalam,Tamil Nadu,0.29,0.0,0.1,0.51,1.89,3.34,1.73,0.99,0.23,0.54,0.43,1.27
11.5,77.25,Sathyamangalam,Tamil Nadu,0.0,0.0,0.0,0.78,0.94,1.25,2.1,1.2,0.35,0.46,1.09,1.23
11.5,77.5,Gobichettipalayam,Tamil Nadu,0.0,0.0,0.0,0.01,0.39,1.4,3.52,0.74,0.34,1.48,0.65,1.01
11.5,77.75,Sankari,Tamil Nadu,0.0,0.0,0.0,0.0,0.8,0.84,3.6,1.01,0.93,0.93,0.26,0.95
11.5,78.0,Tiruchengode,Tamil Nadu,0.0,0.0,0.0,0.01,3.95,2.63,5.06,2.18,1.64,1.43,0.0,0.78
11.5,78.25,Rasipuram,Tamil Nadu,0.0,0.0,0.0,0.1,2.22,2.5,2.65,1.62,0.54,0.8,0.22,1.37
11.5,78.5,Attur,Tamil Nadu,0.0,0.0,0.0,0.09,2.47,2.36,3.57,1.83,0.63,1.75,0.31,2.17
11.5,78.75,Gangavalli,Tamil Nadu,0.0,0.0,0.0,0.0,2.55,2.47,3.32,2.59,0.44,4.29,1.0,1.21
11.5,79.0,Veppur,Tamil Nadu,0.0,0.0,0.0,0.0,2.61,3.1,2.8,1.97,1.02,2.97,0.66,0.77
11.5,79.25,Virudhachalam,Tamil Nadu,0.0,0.0,0.0,0.0,3.2,3.68,1.88,2.05,1.32,1.78,0.68,0.81
11.5,79.5,Bhuvanagiri,Tamil Nadu,0.09,0.0,0.07,0.0,2.75,3.22,1.12,3.61,1.72,2.46,1.68,1.37
11.5,79.75,Bhuvanagiri,Tamil Nadu,0.11,0.0,0.08,0.0,2.84,3.15,0.94,3.33,2.0,2.39,1.67,1.54
11.75,75.25,Unknown,Unknown,0.0,0.0,0.28,0.12,3.62,31.37,20.48,9.49,4.84,0.64,0.93,0.52
11.75,75.5,Thalassery,Kerala,0.0,0.0,0.87,0.0,5.24,33.97,21.24,10.97,5.74,1.4,1.14,0.63
11.75,75.75,Vadakara,Kerala,0.03,0.03,0.24,0.22,2.95,14.66,12.29,8.72,4.36,1.36,0.82,1.27
11.75,76.0,Mananthavady,Kerala,0.12,0.06,0.21,0.81,4.01,9.33,8.89,5.6,2.97,0.75,0.6,0.64
11.75,76.25,Sulthanbathery,Kerala,0.21,0.04,0.28,0.88,4.08,8.26,7.88,4.16,2.14,0.51,0.52,0.55
11.75,76.5,Gundlupet taluk,Karnataka,0.06,0.0,0.09,0.19,2.58,6.42,5.78,2.99,2.39,1.51,0.52,0.65
11.75,76.75,Gundlupet taluk,Karnataka,0.08,0.0,0.05,0.5,3.55,3.53,2.01,0.28,0.98,0.38,0.73,0.9
11.75,77.0,Thalavadi,Tamil Nadu,0.02,0.0,0.04,0.54,3.37,3.01,1.99,0.62,0.63,0.32,0.59,0.91
11.75,77.25,Thalavadi,Tamil Nadu,0.0,0.0,0.01,0.61,1.9,1.82,2.14,1.04,0.52,0.54,0.63,1.21
11.75,77.5,Anthiyur,Tamil Nadu,0.0,0.0,0.0,0.0,1.01,1.92,3.56,1.19,1.44,0.89,0.26,0.86
11.75,77.75,Mettur,Tamil Nadu,0.0,0.0,0.0,0.01,2.03,3.08,4.23,2.05,1.61,0.85,0.16,1.07
11.75,78.0,Omalur,Tamil Nadu,0.0,0.0,0.0,0.02,5.34,6.8,7.63,6.36,1.94,1.65,1.05,5.25
11.75,78.25,Yercaud,Tamil Nadu,0.0,0.0,0.0,0.35,5.49,3.41,3.11,3.84,0.65,1.15,0.24,1.8
11.75,78.5,Attur,Tamil Nadu,0.0,0.0,0.0,0.0,3.71,1.41,3.37,2.03,0.86,3.08,0.14,2.3
11.75,78.75,Sankarapuram,Tamil Nadu,0.0,0.0,0.0,0.0,5.1,0.38,1.99,1.42,1.37,5.8,0.82,1.93
11.75,79.0,Kallakkurichi,Tamil Nadu,0.0,0.0,0.0,0.0,2.41,1.52,3.81,2.25,1.71,4.3,0.39,1.16
11.75,79.25,Ulundurpettai,Tamil Nadu,0.0,0.0,0.0,0.0,2.44,1.66,2.38,2.98,1.55,2.33,0.51,1.43
11.75,79.5,Panruti,Tamil Nadu,0.01,0.01,0.0,0.0,4.17,3.72,1.77,3.74,2.56,1.93,0.91,2.3
11.75,79.75,Cuddalore,Tamil Nadu,0.06,0.0,0.03,0.0,3.36,2.97,1.31,4.02,3.37,1.67,0.99,2.78
12.0,75.0,Unknown,Unknown,0.0,0.0,0.04,0.06,2.98,28.44,23.1,12.39,4.92,0.74,0.49,0.38
12.0,75.25,Kodagu,Karnataka,0.0,0.0,0.0,0.01,3.15,27.73,23.78,15.3,5.34,1.28,0.46,0.39
